"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
111,"b53",0.1347,0.1307,500,1.03,0.303,0.05,-0.122,0.3914
112,"b03",0.9354,0.4323,500,2.16,0.0309,0.05,0.08612,1.7846
112,"b13",0.2072,0.2222,500,0.93,0.3516,0.05,-0.2294,0.6437
112,"b23",0.008277,0.09635,500,0.09,0.9316,0.05,-0.181,0.1976
112,"b33",-0.07547,0.1552,500,-0.49,0.627,0.05,-0.3804,0.2294
112,"b43",-0.4237,0.1922,500,-2.2,0.0279,0.05,-0.8014,-0.04609
112,"b53",-0.2884,0.2826,500,-1.02,0.308,0.05,-0.8437,0.2668
113,"b03",2.5235,0.487,500,5.18,"<.0001",0.05,1.5666,3.4804
113,"b13",-0.00611,0.3452,500,-0.02,"0.9859",0.05,-0.6844,0.6722
113,"b23",0.05779,0.1301,500,0.44,"0.6571",0.05,-0.1978,0.3134
113,"b33",0.3098,0.259,500,1.2,"0.2323",0.05,-0.1991,0.8186
113,"b43",-1.0629,0.2526,500,-4.21,"<.0001",0.05,-1.5591,-0.5667
113,"b53",0.2041,0.1454,500,1.4,"0.1611",0.05,-0.08163,0.4897
114,"b03",2.4098,0.707,500,3.41,7e-04,0.05,1.0207,3.799
114,"b13",-1.1288,0.593,500,-1.9,0.0575,0.05,-2.2939,0.03616
114,"b23",-0.3837,0.2558,500,-1.5,0.1342,0.05,-0.8864,0.1189
114,"b33",-0.1488,0.2367,500,-0.63,0.53,0.05,-0.6139,0.3163
114,"b43",-0.7175,0.3335,500,-2.15,0.0319,0.05,-1.3727,-0.06221
114,"b53",0.3813,0.2319,500,1.64,0.1007,0.05,-0.07423,0.8369
115,"b03",1.6064,0.4969,500,3.23,0.0013,0.05,0.6302,2.5827
115,"b13",0.5236,0.4215,500,1.24,0.2148,0.05,-0.3046,1.3518
115,"b23",-0.3548,0.2278,500,-1.56,0.1199,0.05,-0.8024,0.09269
115,"b33",0.5721,0.2315,500,2.47,0.0138,0.05,0.1172,1.0269
115,"b43",-0.6847,0.2946,500,-2.32,0.0205,0.05,-1.2635,-0.1059
115,"b53",0.5345,0.2719,500,1.97,0.0498,0.05,0.000371,1.0687
116,"b03",1.6683,0.5101,500,3.27,0.0011,0.05,0.6661,2.6704
116,"b13",-0.08274,0.3413,500,-0.24,0.8085,0.05,-0.7533,0.5878
116,"b23",-0.00646,0.1095,500,-0.06,0.953,0.05,-0.2216,0.2087
116,"b33",0.128,0.1157,500,1.11,0.2692,0.05,-0.09931,0.3553
116,"b43",-0.376,0.2012,500,-1.87,0.0623,0.05,-0.7713,0.01937
116,"b53",0.4862,0.3659,500,1.33,0.1845,0.05,-0.2327,1.2051
117,"b03",1.9143,0.5633,500,3.4,7e-04,0.05,0.8077,3.021
117,"b13",0.1367,0.4303,500,0.32,0.7508,0.05,-0.7087,0.9821
117,"b23",0.3647,0.2206,500,1.65,0.0989,0.05,-0.06865,0.7981
117,"b33",0.3603,0.2115,500,1.7,0.0891,0.05,-0.05524,0.7759
117,"b43",-1.079,0.2869,500,-3.76,2e-04,0.05,-1.6427,-0.5154
117,"b53",-0.158,0.2054,500,-0.77,0.442,0.05,-0.5615,0.2455
118,"b03",0.8256,0.503,500,1.64,0.1013,0.05,-0.1626,1.8139
118,"b13",0.1811,0.2751,500,0.66,0.5107,0.05,-0.3594,0.7216
118,"b23",-0.02586,0.0945,500,-0.27,0.7845,0.05,-0.2115,0.1598
118,"b33",0.08878,0.1058,500,0.84,0.4019,0.05,-0.1192,0.2967
118,"b43",-0.5318,0.3076,500,-1.73,0.0845,0.05,-1.1362,0.07268
118,"b53",-0.05797,0.1759,500,-0.33,0.7418,0.05,-0.4035,0.2876
119,"b03",1.2537,0.4474,500,2.8,0.0053,0.05,0.3747,2.1326
119,"b13",0.3704,0.3194,500,1.16,0.2468,0.05,-0.2572,0.9979
119,"b23",0.2684,0.1833,500,1.46,0.1437,0.05,-0.09167,0.6286
119,"b33",0.1549,0.1618,500,0.96,0.3391,0.05,-0.1631,0.4728
119,"b43",-0.8254,0.3105,500,-2.66,0.0081,0.05,-1.4354,-0.2153
119,"b53",0.1583,0.1593,500,0.99,0.321,0.05,-0.1547,0.4713
