"loop","Label","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper"
123,"b03",1.2217,0.6729,500,1.82,0.07,0.05,-0.1004,2.5438
123,"b13",0.0242,0.3547,500,0.07,0.9456,0.05,-0.6727,0.7211
123,"b23",0.003186,0.05346,500,0.06,0.9525,0.05,-0.1018,0.1082
123,"b33",0.1107,0.07848,500,1.41,0.1589,0.05,-0.04346,0.2649
123,"b43",-0.5425,0.3288,500,-1.65,0.0996,0.05,-1.1884,0.1035
123,"b53",0.1204,0.182,500,0.66,0.5085,0.05,-0.2372,0.4781
124,"b03",1.5443,0.6422,500,2.4,0.0165,0.05,0.2826,2.8061
124,"b13",-0.3779,0.4415,500,-0.86,0.3924,0.05,-1.2453,0.4895
124,"b23",-0.05622,0.1288,500,-0.44,0.6628,0.05,-0.3094,0.1969
124,"b33",0.2271,0.1766,500,1.29,0.1991,0.05,-0.1199,0.5741
124,"b43",-0.4597,0.2378,500,-1.93,0.0538,0.05,-0.927,0.007507
124,"b53",0.1296,0.1434,500,0.9,0.3665,0.05,-0.1521,0.4114
125,"b03",1.1675,0.6245,500,1.87,0.0621,0.05,-0.0594,2.3944
125,"b13",0.4996,0.4337,500,1.15,0.2499,0.05,-0.3526,1.3518
125,"b23",0.2479,0.1841,500,1.35,0.1788,0.05,-0.1138,0.6095
